Name,URI,Popularity,Genres,Followers
BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,84,"['k-pop', 'k-pop boy group', 'pop']",72842035
Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,84,"['permanent wave', 'pop']",50329384
Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q,84,"['modern rock', 'pop', 'rock']",52339671
Fuerza Regida,spotify:artist:0ys2OFYzWYB5hRDLCsBqxt,85,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",8749102
Arctic Monkeys,spotify:artist:7Ln80lUS6He07XvHI8qqHH,83,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",24545058
Grupo Frontera,spotify:artist:6XkjpgcEsYab502Vr1bBeW,81,['musica chihuahuense'],3786307
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,82,['pop'],41382730
$uicideboy$,spotify:artist:1VPmR4DJC1PlOtd0IADAO0,83,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",7068971
Linkin Park,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,83,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",25283061
One Direction,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,81,"['boy band', 'pop', 'post-teen pop', 'talent show']",34853456
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,78,"['k-pop', 'k-pop girl group', 'pop']",48770065
Queen,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,81,"['classic rock', 'glam rock', 'rock']",49637508
NewJeans,spotify:artist:6HvZYsbFfjnjFrWF950C9d,77,"['k-pop', 'k-pop girl group']",7920009
The Beatles,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,81,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",27282156
The Neighbourhood,spotify:artist:77SW9BnxLY8rJ0RciFqkHh,80,"['modern alternative rock', 'modern rock', 'pop']",16199415
Stray Kids,spotify:artist:2dIgFjalVxs4ThymZ67YCE,79,"['k-pop', 'k-pop boy group', 'pop']",15315097
OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,81,"['piano rock', 'pop']",16882657
Eslabon Armado,spotify:artist:0XeEobZplHxzM9QzFQWLiR,74,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",5458281
Red Hot Chili Peppers,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,79,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",20627188
Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,78,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",26999501
Morat,spotify:artist:5C4PDR4LnhZTbVnKWXuDKD,78,"['colombian pop', 'latin viral pop']",11015528
Henrique & Juliano,spotify:artist:3p7PcrEHaaKLJnPUGOtRlT,79,"['agronejo', 'arrocha', 'musica tocantinense', 'sertanejo', 'sertanejo universitario']",21241217
Nirvana,spotify:artist:6olE6TJLqED3rqDCT0FyPh,79,"['grunge', 'permanent wave', 'rock']",19269907
Cigarettes After Sex,spotify:artist:1QAJqy2dA3ihHBFIHRphZj,79,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",10992064
Fleetwood Mac,spotify:artist:08GQAI4eElDnROBrJRGE0X,78,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",11375115
TWICE,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,77,"['k-pop', 'k-pop girl group', 'pop']",20059807
Måneskin,spotify:artist:0lAWpj5szCSwM4rUMHYmrr,77,"['indie rock italiano', 'italian pop']",8994842
Grupo Firme,spotify:artist:1dKdetem2xEmjgvyymzytS,76,"['banda', 'musica mexicana', 'norteno', 'sierreno']",12472872
Black Eyed Peas,spotify:artist:1yxSLGMDHlW21z4YXirZDS,77,"['dance pop', 'pop', 'pop rap']",8065334
Radiohead,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,78,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",9802414
Gorillaz,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,76,"['alternative hip hop', 'modern rock', 'rock']",11542413
Vishal-Shekhar,spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb,72,"['filmi', 'modern bollywood']",7145173
The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,78,['pop'],20067223
ABBA,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,77,"['europop', 'swedish pop']",12050700
Jorge & Mateus,spotify:artist:1elUiq4X7pxej6FRlrEzjM,76,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",18910438
Grupo Marca Registrada,spotify:artist:1gW6pz5n1aK249L0GvfQCC,76,"['corrido', 'norteno', 'sad sierreno']",4132972
SEVENTEEN,spotify:artist:7nqOGRxlXj7N2JYbgNEjYH,78,"['k-pop', 'k-pop boy group']",11362413
Green Day,spotify:artist:7oPftvlwr6VrsViSDV7fJY,77,"['modern rock', 'permanent wave', 'punk', 'rock']",14804279
Twenty One Pilots,spotify:artist:3YQKmKGau1PzlVlkL1iodx,79,"['modern rock', 'pop', 'pov: indie', 'rock']",24083133
Fall Out Boy,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,76,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",10559107
Guns N' Roses,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,76,"['glam metal', 'hard rock', 'rock']",30547105
Creedence Clearwater Revival,spotify:artist:3IYUhFvPQItj6xySrBmZkd,78,"['album rock', 'classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",6521766
Wisin & Yandel,spotify:artist:1wZtkThiXbVNtj6hee6dz9,75,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']",7202424
Chase Atlantic,spotify:artist:7cYEt1pqMgXJdq00hAwVpT,76,['alternative r&b'],7167290
Rammstein,spotify:artist:6wWVKhxIU2cEi0K81v7HvP,76,"['german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte']",9566869
System Of A Down,spotify:artist:5eAWCfyUhZtHHtBdNk56l1,77,"['alternative metal', 'nu metal', 'rap metal', 'rock']",10537150
Banda MS de Sergio Lizárraga,spotify:artist:2C6i0I5RiGzDKN9IAF8reh,76,"['banda', 'musica mexicana', 'norteno']",17195476
Pink Floyd,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,75,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",20194584
TV Girl,spotify:artist:0Y6dVaC9DZtPNH4591M42W,79,['pov: indie'],6252023
Bob Marley & The Wailers,spotify:artist:2QsynagSdAqZj3U9HgDzjD,79,"['reggae', 'roots reggae']",12184503
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,['pop'],109853002
Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X,91,"['reggaeton', 'trap latino', 'urbano latino']",80996402
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,91,"['canadian contemporary r&b', 'canadian pop', 'pop']",83139658
Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,93,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",87528011
Peso Pluma,spotify:artist:12GqGscKJx3aE4t07u7eVZ,87,"['corridos tumbados', 'sad sierreno']",13387442
Feid,spotify:artist:2LRoIwlKmHjgvigdNGBHNo,88,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",11086647
Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,90,"['rap', 'slap house']",29213926
SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,88,"['pop', 'r&b', 'rap']",19787815
KAROL G,spotify:artist:790FomKkXshlbRYZFtlgla,86,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",46108903
Lana Del Rey,spotify:artist:00FQb4jTyendYWaN8pK0wa,87,"['art pop', 'pop']",34886416
21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft,87,"['atl hip hop', 'hip hop', 'rap']",18400675
Anirudh Ravichander,spotify:artist:4zCH9qm4R2DADamUHMCa6O,79,"['desi hip hop', 'filmi', 'tamil hip hop']",28513154
Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,89,"['chicago rap', 'hip hop', 'rap']",25232410
Metro Boomin,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,90,['rap'],8027605
Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,87,"['detroit hip hop', 'hip hop', 'rap']",83853140
Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,84,"['pop', 'singer-songwriter pop', 'uk pop']",113928979
